ID,IP,DATATIME,TOTALUSAGE
"6602734","102.200.218.193","2023-02-03 09:58",0.98
"6602735","102.200.218.193","2023-02-03 09:57",0.88
"6602736","102.200.218.193","2023-02-03 09:56",0.91
"6602737","102.200.218.193","2023-02-03 09:54",0.89
"6602738","102.200.218.193","2023-02-03 09:53",0.76
"6602739","102.200.218.193","2023-02-03 09:52",1
"6602740","102.200.218.193","2023-02-03 09:51",0.78
"6602741","102.200.218.193","2023-02-03 09:50",1.13
"6602742","102.200.218.193","2023-02-03 09:49",0.75
"6602743","102.200.218.193","2023-02-03 09:48",0.98
"6602744","102.200.218.193","2023-02-03 09:47",0.88
"6602745","102.200.218.193","2023-02-03 09:46",0.92
"6602746","102.200.218.193","2023-02-03 09:45",0.94
"6602747","102.200.218.193","2023-02-03 09:44",0.91
"6602748","102.200.218.193","2023-02-03 09:43",0.71
"6602749","102.200.218.193","2023-02-03 09:42",1.07
"6602750","102.200.218.193","2023-02-03 09:41",0.83
"6602751","102.200.218.193","2023-02-03 09:40",1.66
"6602752","102.200.218.193","2023-02-03 09:39",0.82
"6602753","102.200.218.193","2023-02-03 09:38",0.95
"6602754","102.200.218.193","2023-02-03 09:36",1.01
"6602755","102.200.218.193","2023-02-03 09:35",0.79
"6602756","102.200.218.193","2023-02-03 09:34",0.98
"6602757","102.200.218.193","2023-02-03 09:33",0.77
"6602758","102.200.218.193","2023-02-03 09:32",1
"6602759","102.200.218.193","2023-02-03 09:31",0.8
"6602760","102.200.218.193","2023-02-03 09:30",1.03
"6602761","102.200.218.193","2023-02-03 09:29",0.76
"6602762","102.200.218.193","2023-02-03 09:28",1.04
"6602763","102.200.218.193","2023-02-03 09:27",0.79
"6602764","102.200.218.193","2023-02-03 09:26",0.98
"6602765","102.200.218.193","2023-02-03 09:25",0.78
"6602766","102.200.218.193","2023-02-03 09:24",0.99
"6602767","102.200.218.193","2023-02-03 09:23",0.88
"6602768","102.200.218.193","2023-02-03 09:22",1.22
"6602769","102.200.218.193","2023-02-03 09:21",0.82
"6602770","102.200.218.193","2023-02-03 09:20",1.02
"6602771","102.200.218.193","2023-02-03 09:19",0.78
"6602772","102.200.218.193","2023-02-03 09:17",0.78
"6602773","102.200.218.193","2023-02-03 09:16",0.93
"6602774","102.200.218.193","2023-02-03 09:15",0.89
"6602775","102.200.218.193","2023-02-03 09:14",1.03
"6602776","102.200.218.193","2023-02-03 09:13",0.78
"6602777","102.200.218.193","2023-02-03 09:12",1.01
"6602778","102.200.218.193","2023-02-03 09:11",0.83
"6602779","102.200.218.193","2023-02-03 09:10",1.03
"6602780","102.200.218.193","2023-02-03 09:09",0.82
"6602781","102.200.218.193","2023-02-03 09:08",1.22
"6602782","102.200.218.193","2023-02-03 09:07",1.03
"6602783","102.200.218.193","2023-02-03 09:06",0.94
"6602784","102.200.218.193","2023-02-03 09:05",0.83
"6602785","102.200.218.193","2023-02-03 09:04",0.91
"6602786","102.200.218.193","2023-02-03 09:03",0.77
"6602787","102.200.218.193","2023-02-03 09:02",1.01
"6602788","102.200.218.193","2023-02-03 09:01",0.77
"6602789","102.200.218.193","2023-02-03 09:00",1.17
"6602790","102.200.218.193","2023-02-03 08:59",0.7
"6602791","102.200.218.193","2023-02-03 08:57",0.82
"6602792","102.200.218.193","2023-02-03 08:56",0.91
"6602793","102.200.218.193","2023-02-03 08:55",0.84
"6602794","102.200.218.193","2023-02-03 08:54",1
"6602795","102.200.218.193","2023-02-03 08:53",0.9
"6602796","102.200.218.193","2023-02-03 08:52",1.23
"6602797","102.200.218.193","2023-02-03 08:51",0.71
"6602798","102.200.218.193","2023-02-03 08:50",1.11
"6602799","102.200.218.193","2023-02-03 08:49",0.74
"6602800","102.200.218.193","2023-02-03 08:48",1.01
"6602801","102.200.218.193","2023-02-03 08:47",0.81
"6602802","102.200.218.193","2023-02-03 08:46",0.97
"6602803","102.200.218.193","2023-02-03 08:45",0.97
"6602804","102.200.218.193","2023-02-03 08:44",0.99
"6602805","102.200.218.193","2023-02-03 08:43",0.77
"6602806","102.200.218.193","2023-02-03 08:42",0.97
"6602807","102.200.218.193","2023-02-03 08:40",1.06
"6602808","102.200.218.193","2023-02-03 08:39",0.83
"6602809","102.200.218.193","2023-02-03 08:38",0.91
"6602810","102.200.218.193","2023-02-03 08:37",0.9
"6602811","102.200.218.193","2023-02-03 08:36",1
"6602812","102.200.218.193","2023-02-03 08:35",1.02
"6602813","102.200.218.193","2023-02-03 08:34",0.89
"6602814","102.200.218.193","2023-02-03 08:33",0.72
"6602815","102.200.218.193","2023-02-03 08:32",1.14
"6602816","102.200.218.193","2023-02-03 08:31",0.7
"6602817","102.200.218.193","2023-02-03 08:30",1.03
"6602818","102.200.218.193","2023-02-03 08:29",0.78
"6602819","102.200.218.193","2023-02-03 08:28",0.97
"6602820","102.200.218.193","2023-02-03 08:27",0.91
"6602821","102.200.218.193","2023-02-03 08:26",0.93
"6602822","102.200.218.193","2023-02-03 08:25",0.83
"6602823","102.200.218.193","2023-02-03 08:24",0.89
"6602824","102.200.218.193","2023-02-03 08:23",1.18
"6602825","102.200.218.193","2023-02-03 08:22",3.82
"6602826","102.200.218.193","2023-02-03 08:21",22.01
"6602827","102.200.218.193","2023-02-03 08:20",1.3
"6602828","102.200.218.193","2023-02-03 08:18",1.09
"6602829","102.200.218.193","2023-02-03 08:17",0.81
"6602830","102.200.218.193","2023-02-03 08:16",0.95
"6602831","102.200.218.193","2023-02-03 08:15",0.8
"6602832","102.200.218.193","2023-02-03 08:14",1.01
"6602833","102.200.218.193","2023-02-03 08:13",0.77
"6602834","102.200.218.193","2023-02-03 08:12",1.12
"6602835","102.200.218.193","2023-02-03 08:11",0.76
"6602836","102.200.218.193","2023-02-03 08:10",1.07
"6602837","102.200.218.193","2023-02-03 08:09",0.85
"6602838","102.200.218.193","2023-02-03 08:08",1
"6602839","102.200.218.193","2023-02-03 08:06",0.94
"6602840","102.200.218.193","2023-02-03 08:05",0.9
"6602841","102.200.218.193","2023-02-03 08:04",1.05
"6602842","102.200.218.193","2023-02-03 08:02",1.02
"6602843","102.200.218.193","2023-02-03 08:01",0.84
"6602844","102.200.218.193","2023-02-03 08:00",1.04
"6602845","102.200.218.193","2023-02-03 07:59",0.95
"6602846","102.200.218.193","2023-02-03 07:58",0.99
"6602847","102.200.218.193","2023-02-02 20:43",0.76
"6602848","102.200.218.193","2023-02-02 20:42",1.05
"6602849","102.200.218.193","2023-02-02 20:41",0.76
"6602850","102.200.218.193","2023-02-02 20:40",1.06
"6602851","102.200.218.193","2023-02-02 20:39",0.86
"6602852","102.200.218.193","2023-02-02 20:38",1.12
"6602853","102.200.218.193","2023-02-03 07:57",0.94
"6602854","102.200.218.193","2023-02-03 07:56",0.93
"6602855","102.200.218.193","2023-02-03 07:55",7.12
"6602856","102.200.218.193","2023-02-03 07:54",0.95
"6602857","102.200.218.193","2023-02-03 07:53",4.77
"6602858","102.200.218.193","2023-02-03 07:52",6.56
"6602859","102.200.218.193","2023-02-03 07:51",6.79
"6602860","102.200.218.193","2023-02-03 07:50",3.89
"6602861","102.200.218.193","2023-02-03 07:49",0.77
"6602862","102.200.218.193","2023-02-03 07:47",5.9
"6602863","102.200.218.193","2023-02-03 07:46",0.91
"6602864","102.200.218.193","2023-02-03 07:45",37.22
"6602865","102.200.218.193","2023-02-03 07:44",1.78
"6602866","102.200.218.193","2023-02-03 07:43",6.63
"6602867","102.200.218.193","2023-02-03 07:42",6.86
"6602868","102.200.218.193","2023-02-03 07:41",6.91
"6602869","102.200.218.193","2023-02-03 07:40",7.23
"6602870","102.200.218.193","2023-02-03 07:39",6.93
"6602871","102.200.218.193","2023-02-03 07:38",7.12
"6602872","102.200.218.193","2023-02-03 07:37",7.02
"6602873","102.200.218.193","2023-02-03 07:36",7.22
"6602874","102.200.218.193","2023-02-03 07:35",8.54
"6602875","102.200.218.193","2023-02-03 07:34",4.39
"6602876","102.200.218.193","2023-02-03 07:33",0.78
"6602877","102.200.218.193","2023-02-03 07:32",1.11
"6602878","102.200.218.193","2023-02-03 07:31",0.78
"6602879","102.200.218.193","2023-02-03 07:30",1.08
"6602880","102.200.218.193","2023-02-03 07:29",0.91
"6602881","102.200.218.193","2023-02-03 07:28",0.93
"6602882","102.200.218.193","2023-02-03 07:26",0.94
"6602883","102.200.218.193","2023-02-03 07:25",0.83
"6602884","102.200.218.193","2023-02-03 07:24",0.92
"6602885","102.200.218.193","2023-02-03 07:23",0.86
"6602886","102.200.218.193","2023-02-03 07:22",1.1
"6602887","102.200.218.193","2023-02-03 07:21",0.75
"6602888","102.200.218.193","2023-02-03 07:20",1.02
"6602889","102.200.218.193","2023-02-03 07:19",0.71
"6602890","102.200.218.193","2023-02-03 07:18",0.96
"6602891","102.200.218.193","2023-02-03 07:17",0.8
"6602892","102.200.218.193","2023-02-03 07:16",0.94
"6602893","102.200.218.193","2023-02-03 07:15",0.92
"6602894","102.200.218.193","2023-02-03 07:14",0.93
"6602895","102.200.218.193","2023-02-03 07:13",0.78
"6602896","102.200.218.193","2023-02-03 07:12",0.99
"6602897","102.200.218.193","2023-02-03 07:11",0.71
"6602898","102.200.218.193","2023-02-03 07:09",0.73
"6602899","102.200.218.193","2023-02-03 07:08",0.91
"6602900","102.200.218.193","2023-02-03 07:07",0.81
"6602901","102.200.218.193","2023-02-03 07:06",0.94
"6602902","102.200.218.193","2023-02-03 07:05",1.28
"6602903","102.200.218.193","2023-02-03 07:04",1.06
"6602904","102.200.218.193","2023-02-03 07:03",0.79
"6602905","102.200.218.193","2023-02-03 07:02",1
"6602906","102.200.218.193","2023-02-03 07:01",0.71
"6602907","102.200.218.193","2023-02-03 07:00",1.07
"6602908","102.200.218.193","2023-02-03 06:59",0.92
"6602909","102.200.218.193","2023-02-03 06:58",0.91
"6602910","102.200.218.193","2023-02-03 06:57",0.79
"6602911","102.200.218.193","2023-02-03 06:56",0.91
"6602912","102.200.218.193","2023-02-03 06:55",0.83
"6602913","102.200.218.193","2023-02-03 06:54",1
"6602914","102.200.218.193","2023-02-03 06:53",0.78
"6602915","102.200.218.193","2023-02-03 06:52",0.99
"6602916","102.200.218.193","2023-02-03 06:51",0.77
"6602917","102.200.218.193","2023-02-03 06:50",1.03
"6602918","102.200.218.193","2023-02-03 06:49",0.73
"6602919","102.200.218.193","2023-02-03 06:47",0.8
"6602920","102.200.218.193","2023-02-03 06:46",0.95
"6602921","102.200.218.193","2023-02-03 06:45",0.94
"6602922","102.200.218.193","2023-02-03 06:44",0.93
"6602923","102.200.218.193","2023-02-03 06:43",0.75
"6602924","102.200.218.193","2023-02-03 06:42",0.96
"6602925","102.200.218.193","2023-02-03 06:41",0.72
"6602926","102.200.218.193","2023-02-03 06:40",1.02
"6602927","102.200.218.193","2023-02-03 06:39",0.77
"6602928","102.200.218.193","2023-02-03 06:38",1.03
"6602929","102.200.218.193","2023-02-03 06:37",0.82
"6602930","102.200.218.193","2023-02-03 06:36",0.98
"6602931","102.200.218.193","2023-02-03 06:35",0.85
"6602932","102.200.218.193","2023-02-03 06:34",0.99
"6602933","102.200.218.193","2023-02-03 06:33",0.85
"6602934","102.200.218.193","2023-02-03 06:31",0.73
"6602935","102.200.218.193","2023-02-03 06:30",1.03
"6602936","102.200.218.193","2023-02-03 06:29",0.98
"6602937","102.200.218.193","2023-02-03 06:28",1.06
"6602938","102.200.218.193","2023-02-03 06:27",1.09
"6602939","102.200.218.193","2023-02-03 06:26",0.9
"6602940","102.200.218.193","2023-02-03 06:25",0.84
"6602941","102.200.218.193","2023-02-03 06:24",0.93
"6602942","102.200.218.193","2023-02-03 06:23",0.84
"6602943","102.200.218.193","2023-02-03 06:22",0.98
"6602944","102.200.218.193","2023-02-03 06:21",0.72
"6602945","102.200.218.193","2023-02-03 06:20",1.01
"6602946","102.200.218.193","2023-02-03 06:19",0.7
"6602947","102.200.218.193","2023-02-03 06:18",0.96
"6602948","102.200.218.193","2023-02-03 06:17",0.76
"6602949","102.200.218.193","2023-02-03 06:16",1.11
"6602950","102.200.218.193","2023-02-03 06:15",0.82
"6602951","102.200.218.193","2023-02-03 06:14",0.91
"6602952","102.200.218.193","2023-02-03 06:13",0.89
"6602953","102.200.218.193","2023-02-03 06:12",2.13
"6602954","102.200.218.193","2023-02-03 06:11",6.87
"6602955","102.200.218.193","2023-02-03 06:10",7.29
"6602956","102.200.218.193","2023-02-03 06:08",7.18
"6602957","102.200.218.193","2023-02-03 06:07",7
"6602958","102.200.218.193","2023-02-03 06:06",7.1
"6602959","102.200.218.193","2023-02-03 06:05",6.97
"6602960","102.200.218.193","2023-02-03 06:04",7.02
"6602961","102.200.218.193","2023-02-03 06:03",6.95
"6602962","102.200.218.193","2023-02-03 06:02",7.14
"6602963","102.200.218.193","2023-02-03 06:01",10.34
"6602964","102.200.218.193","2023-02-03 06:00",7.15
"6602965","102.200.218.193","2023-02-03 05:59",7.12
"6602966","102.200.218.193","2023-02-03 05:58",7.08
"6602967","102.200.218.193","2023-02-03 05:57",6.92
"6602968","102.200.218.193","2023-02-03 05:56",7.04
"6602969","102.200.218.193","2023-02-03 05:54",7.01
"6602970","102.200.218.193","2023-02-03 05:53",7.12
"6602971","102.200.218.193","2023-02-03 05:52",7.53
"6602972","102.200.218.193","2023-02-03 05:51",7.4
"6602973","102.200.218.193","2023-02-03 05:50",7.56
"6602974","102.200.218.193","2023-02-03 05:49",7.25
"6602975","102.200.218.193","2023-02-03 05:48",7.46
"6602976","102.200.218.193","2023-02-03 05:47",7.23
"6602977","102.200.218.193","2023-02-03 05:46",7.36
"6602978","102.200.218.193","2023-02-03 05:45",7.29
"6602979","102.200.218.193","2023-02-03 05:44",7.36
"6602980","102.200.218.193","2023-02-03 05:43",7.18
"6602981","102.200.218.193","2023-02-03 05:42",7.14
"6602982","102.200.218.193","2023-02-03 05:41",6.89
"6602983","102.200.218.193","2023-02-03 05:40",7.08
"6602984","102.200.218.193","2023-02-03 05:39",6.84
"6602985","102.200.218.193","2023-02-03 05:38",7.03
"6602986","102.200.218.193","2023-02-03 05:37",7.01
"6602987","102.200.218.193","2023-02-03 05:36",7.24
"6602988","102.200.218.193","2023-02-03 05:35",7.76
"6602989","102.200.218.193","2023-02-03 05:34",8.17
"6602990","102.200.218.193","2023-02-03 05:33",8.24
"6602991","102.200.218.193","2023-02-03 05:32",7.3
"6602992","102.200.218.193","2023-02-03 05:31",8.43
"6602993","102.200.218.193","2023-02-03 05:30",8.76
"6602994","102.200.218.193","2023-02-03 05:28",8.05
"6602995","102.200.218.193","2023-02-03 05:27",7.89
"6602996","102.200.218.193","2023-02-03 05:26",7.99
"6602997","102.200.218.193","2023-02-03 05:25",8.74
"6602998","102.200.218.193","2023-02-03 05:23",10.22
"6602999","102.200.218.193","2023-02-03 05:22",9.3
"6603000","102.200.218.193","2023-02-03 05:21",8.96
"6603001","102.200.218.193","2023-02-03 05:20",10.69
"6603002","102.200.218.193","2023-02-03 05:19",11.35
"6603003","102.200.218.193","2023-02-03 05:18",9.95
"6603004","102.200.218.193","2023-02-03 05:17",7.77
"6603005","102.200.218.193","2023-02-03 05:15",7.88
"6603006","102.200.218.193","2023-02-03 05:14",8.75
"6603007","102.200.218.193","2023-02-03 02:39",0.71
"6603008","102.200.218.193","2023-02-03 02:38",0.97
"6603009","102.200.218.193","2023-02-03 02:37",0.97
"6603010","102.200.218.193","2023-02-03 02:36",0.96
"6603011","102.200.218.193","2023-02-03 02:34",0.97
"6603012","102.200.218.193","2023-02-03 02:33",0.73
"6603013","102.200.218.193","2023-02-03 02:32",1.22
"6603014","102.200.218.193","2023-02-03 02:31",0.88
"6603015","102.200.218.193","2023-02-03 02:30",1.29
"6603016","102.200.218.193","2023-02-03 02:29",1.14
"6603017","102.200.218.193","2023-02-03 02:28",1.11
"6603018","102.200.218.193","2023-02-03 02:27",0.98
"6603019","102.200.218.193","2023-02-03 02:26",1.09
"6603020","102.200.218.193","2023-02-03 02:25",1.01
"6603021","102.200.218.193","2023-02-03 02:24",1.04
"6603022","102.200.218.193","2023-02-03 02:23",0.92
"6603023","102.200.218.193","2023-02-03 05:13",8.08
"6603024","102.200.218.193","2023-02-03 05:12",8.44
"6603025","102.200.218.193","2023-02-03 05:11",1.07
"6603026","102.200.218.193","2023-02-03 05:09",2.48
"6603027","102.200.218.193","2023-02-03 05:08",3.32
"6603028","102.200.218.193","2023-02-03 05:07",2.88
"6603029","102.200.218.193","2023-02-03 05:06",1.13
"6603030","102.200.218.193","2023-02-03 05:05",0.82
"6603031","102.200.218.193","2023-02-03 05:04",0.98
"6603032","102.200.218.193","2023-02-03 05:03",0.8
"6603033","102.200.218.193","2023-02-03 05:02",1.11
"6603034","102.200.218.193","2023-02-03 05:01",0.83
"6603035","102.200.218.193","2023-02-03 05:00",1.31
"6603036","102.200.218.193","2023-02-03 04:59",0.93
"6603037","102.200.218.193","2023-02-03 04:58",1.08
"6603038","102.200.218.193","2023-02-03 04:57",0.85
"6603039","102.200.218.193","2023-02-03 04:56",0.92
"6603040","102.200.218.193","2023-02-03 04:55",0.84
"6603041","102.200.218.193","2023-02-03 04:54",0.9
"6603042","102.200.218.193","2023-02-03 04:53",0.72
"6603043","102.200.218.193","2023-02-03 04:52",0.98
"6603044","102.200.218.193","2023-02-03 04:51",0.7
"6603045","102.200.218.193","2023-02-03 04:50",1.13
"6603046","102.200.218.193","2023-02-03 04:48",1.06
"6603047","102.200.218.193","2023-02-03 04:47",0.91
"6603048","102.200.218.193","2023-02-03 04:46",1.17
"6603049","102.200.218.193","2023-02-03 04:45",1.21
"6603050","102.200.218.193","2023-02-03 04:44",0.95
"6603051","102.200.218.193","2023-02-03 04:43",0.74
"6603052","102.200.218.193","2023-02-03 04:42",0.98
"6603053","102.200.218.193","2023-02-03 04:41",0.75
"6603054","102.200.218.193","2023-02-03 04:40",1.11
"6603055","102.200.218.193","2023-02-03 04:39",0.76
"6603056","102.200.218.193","2023-02-03 04:38",1.03
"6603057","102.200.218.193","2023-02-03 04:37",0.8
"6603058","102.200.218.193","2023-02-03 04:36",0.93
"6603059","102.200.218.193","2023-02-03 04:35",2.57
"6603060","102.200.218.193","2023-02-03 04:34",2.35
"6603061","102.200.218.193","2023-02-03 04:33",1.65
"6603062","102.200.218.193","2023-02-03 04:32",2.24
"6603063","102.200.218.193","2023-02-03 04:31",1.09
"6603064","102.200.218.193","2023-02-03 04:28",1.23
"6603065","102.200.218.193","2023-02-03 04:27",2.5
"6603066","102.200.218.193","2023-02-03 04:26",1.09
"6603067","102.200.218.193","2023-02-03 04:25",0.82
"6603068","102.200.218.193","2023-02-03 04:24",0.97
"6603069","102.200.218.193","2023-02-03 04:23",0.77
"6603070","102.200.218.193","2023-02-03 04:22",1.01
"6603071","102.200.218.193","2023-02-03 04:21",0.75
"6603072","102.200.218.193","2023-02-03 04:20",1.05
"6603073","102.200.218.193","2023-02-03 04:19",0.75
"6603074","102.200.218.193","2023-02-03 04:18",1.04
"6603075","102.200.218.193","2023-02-03 04:17",0.81
"6603076","102.200.218.193","2023-02-03 04:16",0.92
"6603077","102.200.218.193","2023-02-03 04:15",0.86
"6603078","102.200.218.193","2023-02-03 04:14",0.97
"6603079","102.200.218.193","2023-02-03 04:13",0.78
"6603080","102.200.218.193","2023-02-03 04:12",1.04
"6603081","102.200.218.193","2023-02-03 04:11",0.74
"6603082","102.200.218.193","2023-02-03 04:10",1.16
"6603083","102.200.218.193","2023-02-03 04:09",0.82
"6603084","102.200.218.193","2023-02-03 04:08",1.13
"6603085","102.200.218.193","2023-02-03 04:07",1.08
"6603086","102.200.218.193","2023-02-03 04:06",2.07
"6603087","102.200.218.193","2023-02-03 04:05",1.09
"6603088","102.200.218.193","2023-02-03 04:04",0.99
"6603089","102.200.218.193","2023-02-03 04:03",0.82
"6603090","102.200.218.193","2023-02-03 04:02",0.92
"6603091","102.200.218.193","2023-02-03 04:01",0.78
"6603092","102.200.218.193","2023-02-03 04:00",1.07
"6603093","102.200.218.193","2023-02-03 03:59",0.91
"6603094","102.200.218.193","2023-02-03 03:58",0.93
"6603095","102.200.218.193","2023-02-03 03:57",0.81
"6603096","102.200.218.193","2023-02-03 03:56",0.9
"6603097","102.200.218.193","2023-02-03 03:55",0.84
"6603098","102.200.218.193","2023-02-03 03:54",1.01
"6603099","102.200.218.193","2023-02-03 03:53",0.74
"6603100","102.200.218.193","2023-02-03 03:51",0.84
"6603101","102.200.218.193","2023-02-03 03:49",0.71
"6603102","102.200.218.193","2023-02-03 03:48",0.96
"6603103","102.200.218.193","2023-02-03 03:47",0.85
"6603104","102.200.218.193","2023-02-03 03:46",0.96
"6603105","102.200.218.193","2023-02-03 03:45",0.93
"6603106","102.200.218.193","2023-02-03 03:44",0.94
"6603107","102.200.218.193","2023-02-03 03:43",0.77
"6603108","102.200.218.193","2023-02-03 03:42",1.01
"6603109","102.200.218.193","2023-02-03 03:41",2.97
"6603110","102.200.218.193","2023-02-03 03:40",1.11
"6603111","102.200.218.193","2023-02-03 03:39",0.73
"6603112","102.200.218.193","2023-02-03 03:38",1.02
"6603113","102.200.218.193","2023-02-03 03:37",0.85
"6603114","102.200.218.193","2023-02-03 03:36",0.93
"6603115","102.200.218.193","2023-02-03 03:35",1.54
"6603116","102.200.218.193","2023-02-03 03:34",1.03
"6603117","102.200.218.193","2023-02-03 03:33",0.96
"6603118","102.200.218.193","2023-02-03 03:32",1.03
"6603119","102.200.218.193","2023-02-03 03:31",0.73
"6603120","102.200.218.193","2023-02-03 03:30",1.06
"6603121","102.200.218.193","2023-02-03 03:29",0.96
"6603122","102.200.218.193","2023-02-03 03:28",1.04
"6603123","102.200.218.193","2023-02-03 03:27",0.87
"6603124","102.200.218.193","2023-02-03 03:26",0.97
"6603125","102.200.218.193","2023-02-03 03:25",0.86
"6603126","102.200.218.193","2023-02-03 03:24",0.97
"6603127","102.200.218.193","2023-02-03 03:23",0.72
"6603128","102.200.218.193","2023-02-03 03:22",1.11
"6603129","102.200.218.193","2023-02-03 03:21",0.77
"6603130","102.200.218.193","2023-02-03 03:20",1.07
"6603131","102.200.218.193","2023-02-03 03:19",0.75
"6603132","102.200.218.193","2023-02-03 03:18",0.99
"6603133","102.200.218.193","2023-02-03 03:17",0.8
"6603134","102.200.218.193","2023-02-03 03:16",0.98
"6603135","102.200.218.193","2023-02-03 03:15",0.97
"6603136","102.200.218.193","2023-02-03 03:13",0.89
"6603137","102.200.218.193","2023-02-03 03:12",1.17
"6603138","102.200.218.193","2023-02-03 03:11",0.78
"6603139","102.200.218.193","2023-02-03 03:09",0.69
"6603140","102.200.218.193","2023-02-03 03:08",0.94
"6603141","102.200.218.193","2023-02-03 03:07",0.82
"6603142","102.200.218.193","2023-02-03 03:06",0.91
"6603143","102.200.218.193","2023-02-03 03:05",0.8
"6603144","102.200.218.193","2023-02-03 03:04",0.94
"6603145","102.200.218.193","2023-02-03 03:03",0.84
"6603146","102.200.218.193","2023-02-03 03:02",0.98
"6603147","102.200.218.193","2023-02-03 03:01",0.77
"6603148","102.200.218.193","2023-02-03 03:00",0.99
"6603149","102.200.218.193","2023-02-03 02:59",0.89
"6603150","102.200.218.193","2023-02-03 02:58",1.01
"6603151","102.200.218.193","2023-02-03 02:56",0.92
"6603152","102.200.218.193","2023-02-03 02:55",0.91
"6603153","102.200.218.193","2023-02-03 02:54",0.94
"6603154","102.200.218.193","2023-02-03 02:53",1.24
"6603155","102.200.218.193","2023-02-03 02:52",1.22
"6603156","102.200.218.193","2023-02-03 02:51",0.74
"6603157","102.200.218.193","2023-02-03 02:50",1.43
"6603158","102.200.218.193","2023-02-03 02:49",0.75
"6603159","102.200.218.193","2023-02-03 02:48",0.97
"6603160","102.200.218.193","2023-02-03 02:47",0.8
"6603161","102.200.218.193","2023-02-03 02:46",0.95
"6603162","102.200.218.193","2023-02-03 02:45",0.82
"6603163","102.200.218.193","2023-02-03 02:44",1.13
"6603164","102.200.218.193","2023-02-03 02:43",0.74
"6603165","102.200.218.193","2023-02-03 02:42",1.11
"6603166","102.200.218.193","2023-02-03 02:41",0.73
"6603167","102.200.218.193","2023-02-03 02:40",0.97
"6603168","102.200.218.193","2023-02-02 23:39",1.56
"6603169","102.200.218.193","2023-02-02 23:38",2.4
"6603170","102.200.218.193","2023-02-02 23:37",6.35
"6603171","102.200.218.193","2023-02-02 23:36",6.76
"6603172","102.200.218.193","2023-02-02 23:34",6.77
"6603173","102.200.218.193","2023-02-03 02:22",1.19
"6603174","102.200.218.193","2023-02-03 02:21",0.92
"6603175","102.200.218.193","2023-02-03 02:20",1.41
"6603176","102.200.218.193","2023-02-03 02:19",0.9
"6603177","102.200.218.193","2023-02-03 02:18",1.11
"6603178","102.200.218.193","2023-02-03 02:17",0.94
"6603179","102.200.218.193","2023-02-03 02:16",1.21
"6603180","102.200.218.193","2023-02-03 02:15",1.24
"6603181","102.200.218.193","2023-02-03 02:14",1.85
"6603182","102.200.218.193","2023-02-03 02:13",1.05
"6603183","102.200.218.193","2023-02-03 02:12",1.17
"6603184","102.200.218.193","2023-02-03 02:11",0.94
